epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.088,1.88386,3.21374,1.34619,0.63018,0.60997,0.61736,0.28967,1.50614,4.5858,1.17877,0.000475628,0.000475628,0.000475628
2,356.086,1.77457,1.72243,1.34882,0.68386,0.56209,0.6472,0.28492,1.54971,3.07497,1.20217,0.000933112,0.000933112,0.000933112
3,529.002,1.75053,1.54379,1.3487,0.65975,0.67791,0.72383,0.37175,1.49422,6.84275,1.20502,0.00137173,0.00137173,0.00137173
4,701.193,1.71555,1.4524,1.33429,0.60022,0.67834,0.66732,0.32792,1.44942,2.72639,1.20538,0.00134412,0.00134412,0.00134412
5,874.643,1.67729,1.37616,1.30749,0.71344,0.74826,0.78892,0.40581,1.3985,4.43946,1.15987,0.00131582,0.00131582,0.00131582
6,1047.87,1.6406,1.3219,1.29322,0.69706,0.76452,0.79786,0.44655,1.35633,3.52466,1.12259,0.00128753,0.00128753,0.00128753
7,1221.62,1.62747,1.25828,1.28324,0.76717,0.80485,0.83773,0.44428,1.36124,3.67336,1.1277,0.00125923,0.00125923,0.00125923
8,1395.45,1.59873,1.23,1.2656,0.79038,0.82977,0.85633,0.47797,1.31293,2.90096,1.11518,0.00123094,0.00123094,0.00123094
9,1566.53,1.58119,1.18046,1.26508,0.85409,0.85637,0.89567,0.49069,1.31331,4.73557,1.11183,0.00120265,0.00120265,0.00120265
10,1736.67,1.56508,1.1715,1.25077,0.81277,0.84392,0.88465,0.50865,1.29905,4.97288,1.10325,0.00117435,0.00117435,0.00117435
11,1905.21,1.54996,1.12265,1.24283,0.84584,0.86643,0.89069,0.50249,1.28736,3.69256,1.10622,0.00114606,0.00114606,0.00114606
12,2073.37,1.53178,1.12406,1.23967,0.85471,0.83672,0.90057,0.51345,1.28309,3.13863,1.09061,0.00111776,0.00111776,0.00111776
13,2244.48,1.52343,1.10355,1.22228,0.87731,0.86612,0.91376,0.53785,1.26746,1.80078,1.07956,0.00108947,0.00108947,0.00108947
14,2413.36,1.49146,1.06285,1.21248,0.80319,0.8585,0.88956,0.49436,1.28488,4.50614,1.08956,0.00106118,0.00106118,0.00106118
15,2584.72,1.49959,1.05477,1.21949,0.90242,0.89893,0.93338,0.55291,1.25419,2.05792,1.07505,0.00103288,0.00103288,0.00103288
16,2754.47,1.48109,1.04303,1.20235,0.86976,0.87903,0.92209,0.54722,1.24123,2.50521,1.06601,0.00100459,0.00100459,0.00100459
17,2924.05,1.46792,1.02787,1.19618,0.89525,0.89472,0.93296,0.57434,1.20774,2.23148,1.04529,0.000976293,0.000976293,0.000976293
18,3091.85,1.4589,1.01887,1.19642,0.8873,0.89636,0.92249,0.55431,1.23587,2.20723,1.05289,0.000947999,0.000947999,0.000947999
19,3261.29,1.45247,0.98354,1.19132,0.89484,0.89723,0.93102,0.56791,1.21949,2.0436,1.05069,0.000919704,0.000919704,0.000919704
20,3430.13,1.43708,0.97767,1.18236,0.90544,0.89161,0.9337,0.58693,1.20898,2.23995,1.03593,0.00089141,0.00089141,0.00089141
21,3599.7,1.42765,0.96619,1.17405,0.89589,0.91179,0.93701,0.57963,1.20653,2.3075,1.04697,0.000863116,0.000863116,0.000863116
22,3768.98,1.42865,0.96639,1.18349,0.89539,0.91172,0.94864,0.59678,1.16691,1.99704,1.03043,0.000834822,0.000834822,0.000834822
23,3938.84,1.39967,0.94379,1.16903,0.89712,0.92769,0.94808,0.58934,1.20066,1.86579,1.04249,0.000806528,0.000806528,0.000806528
24,4109.84,1.39335,0.94742,1.163,0.88486,0.91316,0.94885,0.61822,1.16397,1.96814,1.0202,0.000778233,0.000778233,0.000778233
25,4279.51,1.38761,0.93093,1.16237,0.89534,0.91703,0.94569,0.60764,1.18562,2.18052,1.0304,0.000749939,0.000749939,0.000749939
26,4448.78,1.38283,0.92079,1.15501,0.90863,0.90968,0.93602,0.59251,1.1948,1.60116,1.03144,0.000721645,0.000721645,0.000721645
27,4620.24,1.37341,0.91318,1.15186,0.9226,0.92848,0.95039,0.62133,1.16021,1.91038,1.01746,0.000693351,0.000693351,0.000693351
28,4792.01,1.36983,0.905,1.14479,0.90626,0.9143,0.94551,0.62364,1.13916,2.0436,1.01231,0.000665057,0.000665057,0.000665057
29,4961.86,1.35288,0.88801,1.13928,0.92697,0.92649,0.95438,0.62923,1.13025,1.79433,1.00043,0.000636762,0.000636762,0.000636762
30,5130.75,1.3497,0.87546,1.14091,0.92776,0.9212,0.95412,0.62165,1.14028,1.73905,1.00591,0.000608468,0.000608468,0.000608468
31,5301.57,1.32747,0.86491,1.12961,0.90988,0.94211,0.95174,0.63419,1.13056,1.65154,1.00051,0.000580174,0.000580174,0.000580174
32,5472.01,1.32774,0.8619,1.1278,0.93423,0.93992,0.95867,0.63413,1.12676,1.61134,0.99732,0.00055188,0.00055188,0.00055188
33,5642.4,1.3226,0.85619,1.12657,0.91254,0.9495,0.95795,0.64336,1.11046,1.73949,0.99114,0.000523586,0.000523586,0.000523586
34,5813.2,1.30635,0.84458,1.11926,0.93517,0.94015,0.96241,0.64355,1.11687,1.36866,0.99281,0.000495291,0.000495291,0.000495291
35,5984.71,1.29888,0.83028,1.1118,0.93369,0.94232,0.96732,0.64625,1.1079,1.60049,0.98383,0.000466997,0.000466997,0.000466997
36,6153.61,1.2976,0.81553,1.11445,0.93909,0.93262,0.95654,0.65146,1.11209,1.35573,0.985,0.000438703,0.000438703,0.000438703
37,6323.69,1.28896,0.82856,1.11025,0.94144,0.9502,0.96371,0.65267,1.10176,1.67494,0.98088,0.000410409,0.000410409,0.000410409
38,6492.54,1.27478,0.80977,1.10194,0.92929,0.94454,0.95924,0.66454,1.07826,1.44394,0.97407,0.000382115,0.000382115,0.000382115
39,6663.03,1.24511,0.78866,1.09442,0.9314,0.94789,0.96563,0.66523,1.0961,1.52462,0.97741,0.00035382,0.00035382,0.00035382
40,6831.75,1.26248,0.8024,1.09749,0.93375,0.95039,0.96574,0.66821,1.08215,1.30936,0.97072,0.000325526,0.000325526,0.000325526
41,6995,1.20645,0.72523,1.1125,0.94603,0.94554,0.96656,0.67702,1.07097,1.10958,0.96603,0.000297232,0.000297232,0.000297232
42,7155.96,1.19269,0.71005,1.10336,0.93771,0.95346,0.96818,0.67151,1.07122,1.07575,0.96792,0.000268938,0.000268938,0.000268938
43,7318.82,1.1758,0.69076,1.10022,0.93406,0.95039,0.97025,0.67829,1.0646,1.07396,0.96871,0.000240644,0.000240644,0.000240644
44,7479.9,1.16149,0.68251,1.08185,0.93792,0.94893,0.96903,0.68659,1.04631,1.07733,0.95864,0.000212349,0.000212349,0.000212349
45,7640.52,1.15649,0.67616,1.08378,0.93616,0.94461,0.96648,0.68635,1.04574,1.0975,0.95851,0.000184055,0.000184055,0.000184055
46,7801.37,1.14508,0.66728,1.08096,0.9344,0.94637,0.96902,0.68742,1.04901,1.13435,0.95955,0.000155761,0.000155761,0.000155761
47,7961.72,1.13541,0.65627,1.07842,0.93168,0.94697,0.96569,0.69,1.04443,1.069,0.95759,0.000127467,0.000127467,0.000127467
48,8123.25,1.1211,0.65461,1.073,0.92972,0.94977,0.9687,0.69618,1.03959,0.99093,0.95581,9.91726e-05,9.91726e-05,9.91726e-05
49,8283.92,1.11329,0.64759,1.07061,0.93472,0.94451,0.9662,0.69472,1.03756,0.98199,0.95482,7.08784e-05,7.08784e-05,7.08784e-05
50,8445.06,1.11349,0.64507,1.06784,0.92966,0.94503,0.96599,0.69181,1.03565,0.95335,0.95424,4.25842e-05,4.25842e-05,4.25842e-05
